Week,amazon face mask: (Worldwide)
2019-01-06,3
2019-01-13,2
2019-01-20,2
2019-01-27,2
2019-02-03,2
2019-02-10,1
2019-02-17,1
2019-02-24,2
2019-03-03,2
2019-03-10,1
2019-03-17,2
2019-03-24,2
2019-03-31,2
2019-04-07,2
2019-04-14,2
2019-04-21,2
2019-04-28,1
2019-05-05,2
2019-05-12,1
2019-05-19,2
2019-05-26,2
2019-06-02,1
2019-06-09,1
2019-06-16,3
2019-06-23,1
2019-06-30,2
2019-07-07,1
2019-07-14,4
2019-07-21,2
2019-07-28,2
2019-08-04,2
2019-08-11,3
2019-08-18,2
2019-08-25,2
2019-09-01,1
2019-09-08,1
2019-09-15,2
2019-09-22,2
2019-09-29,2
2019-10-06,2
2019-10-13,2
2019-10-20,3
2019-10-27,3
2019-11-03,2
2019-11-10,3
2019-11-17,2
2019-11-24,2
2019-12-01,4
2019-12-08,3
2019-12-15,2
2019-12-22,2
2019-12-29,3
2020-01-05,2
2020-01-12,3
2020-01-19,5
2020-01-26,19
2020-02-02,12
2020-02-09,12
2020-02-16,7
2020-02-23,38
2020-03-01,29
2020-03-08,30
2020-03-15,56
2020-03-22,57
2020-03-29,100
2020-04-05,93
2020-04-12,83
2020-04-19,67
2020-04-26,59
2020-05-03,51
2020-05-10,62
2020-05-17,44
2020-05-24,38
2020-05-31,36
2020-06-07,37
2020-06-14,36
2020-06-21,40
2020-06-28,51
2020-07-05,59
2020-07-12,85
2020-07-19,64
2020-07-26,54
2020-08-02,43
2020-08-09,33
2020-08-16,30
2020-08-23,33
2020-08-30,29
2020-09-06,25
2020-09-13,22
2020-09-20,24
2020-09-27,22
2020-10-04,23
2020-10-11,22
2020-10-18,20
2020-10-25,21
2020-11-01,17
2020-11-08,20
2020-11-15,18
2020-11-22,14
2020-11-29,16
2020-12-06,17
2020-12-13,14
2020-12-20,11
2020-12-27,13
