date, value
01/01/1986,8.25
01/02/1986,7.94
01/03/1986,7.5
01/04/1986,6.94
01/05/1986,7.13
01/06/1986,7.03
01/07/1986,6.56
01/08/1986,5.94
01/09/1986,6.13
01/10/1986,5.94
01/11/1986,6.38
01/12/1986,6.75
01/01/1987,6.2
01/02/1987,6.47
01/03/1987,6.58
01/04/1987,6.81
01/05/1987,7.25
01/06/1987,7.06
01/07/1987,6.75
01/08/1987,7.13
01/09/1987,7.75
01/10/1987,7.13
01/11/1987,8.19
01/12/1987,7.13
01/01/1988,6.81
01/02/1988,6.81
01/03/1988,6.8
01/04/1988,7.13
01/05/1988,7.63
01/06/1988,7.81
01/07/1988,8.13
01/08/1988,8.38
01/09/1988,8.31
01/10/1988,8.38
01/11/1988,9.56
01/12/1988,9.19
01/01/1989,9.25
01/02/1989,10.06
01/03/1989,10.06
01/04/1989,9.88
01/05/1989,9.69
01/06/1989,9.44
01/07/1989,8.69
01/08/1989,9
01/09/1989,9.13
01/10/1989,8.75
01/11/1989,8.81
01/12/1989,8.5
01/01/1990,8.31
01/02/1990,8.38
01/03/1990,8.38
01/04/1990,8.5
01/05/1990,8.31
01/06/1990,8.31
01/07/1990,8
01/08/1990,8.06
01/09/1990,8.27
01/10/1990,7.94
01/11/1990,8.63
01/12/1990,7.63
01/01/1991,6.94
01/02/1991,7
01/03/1991,6.31
01/04/1991,6.06
01/05/1991,5.94
01/06/1991,6.06
01/07/1991,5.94
01/08/1991,5.69
01/09/1991,5.44
01/10/1991,5.13
01/11/1991,5.19
01/12/1991,4.31
01/01/1992,4.19
01/02/1992,4.25
01/03/1992,4.25
01/04/1992,3.94
01/05/1992,4
01/06/1992,3.94
01/07/1992,3.38
01/08/1992,3.48
01/09/1992,3.19
01/10/1992,3.25
01/11/1992,4.25
01/12/1992,3.31
01/01/1993,3.13
01/02/1993,3.19
01/03/1993,3.19
01/04/1993,3.13
01/05/1993,3.25
01/06/1993,3.19
01/07/1993,3.19
01/08/1993,3.19
01/09/1993,3.19
01/10/1993,3.19
01/11/1993,3.56
01/12/1993,3.25
01/01/1994,3.13
01/02/1994,3.56
01/03/1994,3.69
01/04/1994,4
01/05/1994,4.38
01/06/1994,4.56
01/07/1994,4.5
01/08/1994,4.88
01/09/1994,5.06
01/10/1994,5.06
01/11/1994,6.06
01/12/1994,6
01/01/1995,6.09
01/02/1995,6.13
01/03/1995,6.13
01/04/1995,6.06
01/05/1995,6.06
01/06/1995,6.13
01/07/1995,5.88
01/08/1995,5.88
01/09/1995,5.88
01/10/1995,5.83
01/11/1995,5.98
01/12/1995,5.69
01/01/1996,5.44
01/02/1996,5.31
01/03/1996,5.44
01/04/1996,5.44
01/05/1996,5.44
01/06/1996,5.5
01/07/1996,5.47
01/08/1996,5.44
01/09/1996,5.43
01/10/1996,5.38
01/11/1996,5.56
01/12/1996,5.5
01/01/1997,5.44
01/02/1997,5.44
01/03/1997,5.69
01/04/1997,5.69
01/05/1997,5.69
01/06/1997,6.06
01/07/1997,5.63
01/08/1997,5.66
01/09/1997,5.66
01/10/1997,5.65
01/11/1997,5.97
01/12/1997,5.72
01/01/1998,5.6
01/02/1998,5.69
01/03/1998,5.69
01/04/1998,5.66
01/05/1998,5.66
01/06/1998,5.66
01/07/1998,5.66
01/08/1998,5.65
01/09/1998,5.38
01/10/1998,5.24
01/11/1998,5.62
01/12/1998,5.06
01/01/1999,4.94
01/02/1999,4.96
01/03/1999,4.94
01/04/1999,4.9
01/05/1999,4.94
01/06/1999,5.24
01/07/1999,5.19
01/08/1999,5.38
01/09/1999,5.4
01/10/1999,5.41
01/11/1999,6.48
01/12/1999,5.83
01/01/2000,5.89
01/02/2000,5.92
01/03/2000,6.13
01/04/2000,6.29
01/05/2000,6.65
01/06/2000,6.64
01/07/2000,6.62
01/08/2000,6.63
01/09/2000,6.62
01/10/2000,6.62
01/11/2000,6.8
01/12/2000,6.56
01/01/2001,5.57
01/02/2001,5.21
01/03/2001,5.08
01/04/2001,4.43
01/05/2001,4.06
01/06/2001,3.86
01/07/2001,3.75
01/08/2001,3.58
01/09/2001,2.63
01/10/2001,2.29
01/11/2001,2.12
01/12/2001,1.87
01/01/2002,1.85
01/02/2002,1.87
01/03/2002,1.88
01/04/2002,1.84
01/05/2002,1.84
01/06/2002,1.84
01/07/2002,1.82
01/08/2002,1.82
01/09/2002,1.81
01/10/2002,1.72
01/11/2002,1.44
01/12/2002,1.38
01/01/2003,1.34
01/02/2003,1.34
01/03/2003,1.3
01/04/2003,1.32
01/05/2003,1.32
01/06/2003,1.12
01/07/2003,1.1
01/08/2003,1.12
01/09/2003,1.12
01/10/2003,1.12
01/11/2003,1.17
01/12/2003,1.12
01/01/2004,1.1
01/02/2004,1.1
01/03/2004,1.09
01/04/2004,1.1
01/05/2004,1.11
01/06/2004,1.37
01/07/2004,1.5
01/08/2004,1.67
01/09/2004,1.84
01/10/2004,2
01/11/2004,2.29
01/12/2004,2.4
01/01/2005,2.59
01/02/2005,2.72
01/03/2005,2.87
01/04/2005,3.09
01/05/2005,3.13
01/06/2005,3.34
01/07/2005,3.52
01/08/2005,3.7
01/09/2005,3.86
01/10/2005,4.09
01/11/2005,4.29
01/12/2005,4.39
01/01/2006,4.57
01/02/2006,4.63
01/03/2006,4.83
01/04/2006,5.04
01/05/2006,5.11
01/06/2006,5.33
01/07/2006,5.39
01/08/2006,5.33
01/09/2006,5.32
01/10/2006,5.32
01/11/2006,5.35
01/12/2006,5.32
01/01/2007,5.32
01/02/2007,5.32
01/03/2007,5.32
01/04/2007,5.32
01/05/2007,5.32
01/06/2007,5.32
01/07/2007,5.32
01/08/2007,5.72
01/09/2007,5.12
01/10/2007,4.71
01/11/2007,5.24
01/12/2007,4.6
01/01/2008,3.14
01/02/2008,3.11
01/03/2008,2.7
01/04/2008,2.8
01/05/2008,2.46
01/06/2008,2.46
01/07/2008,2.46
01/08/2008,2.49
01/09/2008,3.93
01/10/2008,2.58
01/11/2008,1.9
01/12/2008,0.44
01/01/2009,0.42
01/02/2009,0.5
01/03/2009,0.5
01/04/2009,0.41
01/05/2009,0.32
01/06/2009,0.31
01/07/2009,0.28
01/08/2009,0.26
01/09/2009,0.25
01/10/2009,0.24
01/11/2009,0.24
01/12/2009,0.23
01/01/2010,0.23
01/02/2010,0.23
01/03/2010,0.25
01/04/2010,0.28
01/05/2010,0.35
01/06/2010,0.35
01/07/2010,0.31
01/08/2010,0.26
01/09/2010,0.26
01/10/2010,0.25
01/11/2010,0.26
01/12/2010,0.26
01/01/2011,0.26
01/02/2011,0.26
01/03/2011,0.24
01/04/2011,0.21
01/05/2011,0.19
01/06/2011,0.19
01/07/2011,0.19
01/08/2011,0.22
01/09/2011,0.24
01/10/2011,0.25
01/11/2011,0.27
01/12/2011,0.3
01/01/2012,0.27
01/02/2012,0.24
01/03/2012,0.24
01/04/2012,0.24
01/05/2012,0.24
01/06/2012,0.25
01/07/2012,0.25
01/08/2012,0.23
01/09/2012,0.21
01/10/2012,0.21
01/11/2012,0.22
01/12/2012,0.21
01/01/2013,0.2
01/02/2013,0.2
01/03/2013,0.2
01/04/2013,0.2
01/05/2013,0.19
01/06/2013,0.2
01/07/2013,0.19
01/08/2013,0.18
01/09/2013,0.18
01/10/2013,0.17
01/11/2013,0.17
01/12/2013,0.17
01/01/2014,0.16
01/02/2014,0.16
01/03/2014,0.15
01/04/2014,0.15
01/05/2014,0.15
01/06/2014,0.16
01/07/2014,0.16
01/08/2014,0.16
01/09/2014,0.16
01/10/2014,0.16
01/11/2014,0.15
01/12/2014,0.17
01/01/2015,0.17
01/02/2015,0.17
01/03/2015,0.18
01/04/2015,0.18
01/05/2015,0.18
01/06/2015,0.19
01/07/2015,0.19
01/09/2015,0.19
01/10/2015,0.19
01/11/2015,0.24
01/12/2015,0.43
01/01/2016,0.43
01/02/2016,0.44
01/03/2016,0.44
01/04/2016,0.44
01/05/2016,0.47
01/06/2016,0.47
01/07/2016,0.5
01/08/2016,0.53
01/09/2016,0.53
01/10/2016,0.53
01/11/2016,0.62
01/12/2016,0.77
01/01/2017,0.78
01/02/2017,0.79
01/03/2017,0.98
01/04/2017,1
01/05/2017,1.06
01/06/2017,1.22
01/07/2017,1.23
01/08/2017,1.23
01/09/2017,1.23
01/10/2017,1.24
01/11/2017,1.37
01/12/2017,1.56
01/01/2018,1.58
01/02/2018,1.67
01/03/2018,1.88
01/04/2018,1.91
01/05/2018,2
01/06/2018,2.09
01/07/2018,2.08
01/08/2018,2.11
01/09/2018,2.26
01/10/2018,2.31
01/11/2018,2.35
01/12/2018,2.52
01/01/2019,2.51
01/02/2019,2.49
01/03/2019,2.5
01/04/2019,2.48
01/05/2019,2.43
01/06/2019,2.4
01/07/2019,2.22
01/08/2019,2.09
01/09/2019,2.02
01/10/2019,1.79
01/11/2019,1.7
01/12/2019,1.76
01/01/2020,1.66
01/02/2020,1.52
01/03/2020,0.99
01/04/2020,0.33
01/05/2020,0.18
01/06/2020,0.16
01/07/2020,0.16
01/08/2020,0.16
01/09/2020,0.16
