Week,amazon desk chair: (United Kingdom)
2020-01-05,9
2020-01-12,17
2020-01-19,45
2020-01-26,9
2020-02-02,18
2020-02-09,9
2020-02-16,17
2020-02-23,17
2020-03-01,26
2020-03-08,17
2020-03-15,100
2020-03-22,39
2020-03-29,47
2020-04-05,16
2020-04-12,41
2020-04-19,72
2020-04-26,62
2020-05-03,63
2020-05-10,23
2020-05-17,32
2020-05-24,25
2020-05-31,38
2020-06-07,69
2020-06-14,31
2020-06-21,32
2020-06-28,78
2020-07-05,41
2020-07-12,8
2020-07-19,9
2020-07-26,52
2020-08-02,9
2020-08-09,26
2020-08-16,17
2020-08-23,17
2020-08-30,18
2020-09-06,9
2020-09-13,35
2020-09-20,52
2020-09-27,52
2020-10-04,17
2020-10-11,37
2020-10-18,27
2020-10-25,53
2020-11-01,77
2020-11-08,44
2020-11-15,52
2020-11-22,26
2020-11-29,26
2020-12-06,36
2020-12-13,18
2020-12-20,20
2020-12-27,9
2021-01-03,69
2021-01-10,43
2021-01-17,51
2021-01-24,34
2021-01-31,43
2021-02-07,61
2021-02-14,9
2021-02-21,9
2021-02-28,27
2021-03-07,27
2021-03-14,9
2021-03-21,27
2021-03-28,20
2021-04-04,0
2021-04-11,29
2021-04-18,10
2021-04-25,37
2021-05-02,0
