Week,amazon face masks: (United Kingdom)
2020-01-05,0
2020-01-12,<1
2020-01-19,2
2020-01-26,8
2020-02-02,4
2020-02-09,6
2020-02-16,1
2020-02-23,22
2020-03-01,20
2020-03-08,19
2020-03-15,23
2020-03-22,29
2020-03-29,41
2020-04-05,19
2020-04-12,35
2020-04-19,30
2020-04-26,39
2020-05-03,24
2020-05-10,44
2020-05-17,18
2020-05-24,13
2020-05-31,42
2020-06-07,28
2020-06-14,22
2020-06-21,17
2020-06-28,23
2020-07-05,30
2020-07-12,100
2020-07-19,49
2020-07-26,26
2020-08-02,17
2020-08-09,12
2020-08-16,11
2020-08-23,16
2020-08-30,13
2020-09-06,10
2020-09-13,10
2020-09-20,11
2020-09-27,11
2020-10-04,11
2020-10-11,8
2020-10-18,6
2020-10-25,16
2020-11-01,13
2020-11-08,5
2020-11-15,6
2020-11-22,5
2020-11-29,5
2020-12-06,6
2020-12-13,4
2020-12-20,4
2020-12-27,4
2021-01-03,8
2021-01-10,8
2021-01-17,5
2021-01-24,7
2021-01-31,5
2021-02-07,5
2021-02-14,2
2021-02-21,4
2021-02-28,4
2021-03-07,3
2021-03-14,2
2021-03-21,2
2021-03-28,1
2021-04-04,2
2021-04-11,2
2021-04-18,4
2021-04-25,2
2021-05-02,3
