Week,amazon face shield: (United Kingdom)
2020-01-05,0
2020-01-12,0
2020-01-19,7
2020-01-26,0
2020-02-02,0
2020-02-09,0
2020-02-16,0
2020-02-23,6
2020-03-01,0
2020-03-08,0
2020-03-15,0
2020-03-22,23
2020-03-29,58
2020-04-05,72
2020-04-12,24
2020-04-19,0
2020-04-26,17
2020-05-03,17
2020-05-10,29
2020-05-17,29
2020-05-24,18
2020-05-31,23
2020-06-07,28
2020-06-14,51
2020-06-21,24
2020-06-28,17
2020-07-05,42
2020-07-12,100
2020-07-19,64
2020-07-26,51
2020-08-02,71
2020-08-09,32
2020-08-16,32
2020-08-23,57
2020-08-30,39
2020-09-06,58
2020-09-13,52
2020-09-20,76
2020-09-27,25
2020-10-04,26
2020-10-11,14
2020-10-18,47
2020-10-25,19
2020-11-01,31
2020-11-08,0
2020-11-15,6
2020-11-22,6
2020-11-29,13
2020-12-06,7
2020-12-13,26
2020-12-20,0
2020-12-27,7
2021-01-03,38
2021-01-10,44
2021-01-17,31
2021-01-24,13
2021-01-31,19
2021-02-07,6
2021-02-14,0
2021-02-21,6
2021-02-28,0
2021-03-07,7
2021-03-14,13
2021-03-21,0
2021-03-28,0
2021-04-04,14
2021-04-11,0
2021-04-18,7
2021-04-25,14
2021-05-02,24
