Week,amazon skipping rope: (United Kingdom)
2020-01-05,0
2020-01-12,9
2020-01-19,10
2020-01-26,0
2020-02-02,0
2020-02-09,9
2020-02-16,0
2020-02-23,18
2020-03-01,9
2020-03-08,9
2020-03-15,44
2020-03-22,100
2020-03-29,76
2020-04-05,95
2020-04-12,95
2020-04-19,85
2020-04-26,66
2020-05-03,50
2020-05-10,83
2020-05-17,42
2020-05-24,27
2020-05-31,16
2020-06-07,57
2020-06-14,25
2020-06-21,34
2020-06-28,33
2020-07-05,35
2020-07-12,0
2020-07-19,19
2020-07-26,9
2020-08-02,0
2020-08-09,19
2020-08-16,18
2020-08-23,9
2020-08-30,0
2020-09-06,9
2020-09-13,9
2020-09-20,0
2020-09-27,0
2020-10-04,9
2020-10-11,0
2020-10-18,10
2020-10-25,9
2020-11-01,18
2020-11-08,19
2020-11-15,18
2020-11-22,9
2020-11-29,47
2020-12-06,19
2020-12-13,0
2020-12-20,21
2020-12-27,10
2021-01-03,27
2021-01-10,27
2021-01-17,36
2021-01-24,18
2021-01-31,19
2021-02-07,28
2021-02-14,10
2021-02-21,18
2021-02-28,28
2021-03-07,20
2021-03-14,0
2021-03-21,59
2021-03-28,10
2021-04-04,10
2021-04-11,10
2021-04-18,10
2021-04-25,20
2021-05-02,35
