Week,amazon webcam: (United Kingdom)
2020-01-05,12
2020-01-12,9
2020-01-19,3
2020-01-26,6
2020-02-02,15
2020-02-09,17
2020-02-16,14
2020-02-23,14
2020-03-01,3
2020-03-08,17
2020-03-15,49
2020-03-22,100
2020-03-29,54
2020-04-05,56
2020-04-12,45
2020-04-19,42
2020-04-26,58
2020-05-03,49
2020-05-10,66
2020-05-17,34
2020-05-24,55
2020-05-31,40
2020-06-07,27
2020-06-14,25
2020-06-21,47
2020-06-28,36
2020-07-05,21
2020-07-12,39
2020-07-19,32
2020-07-26,26
2020-08-02,23
2020-08-09,32
2020-08-16,23
2020-08-23,25
2020-08-30,14
2020-09-06,29
2020-09-13,23
2020-09-20,28
2020-09-27,34
2020-10-04,43
2020-10-11,30
2020-10-18,18
2020-10-25,38
2020-11-01,25
2020-11-08,31
2020-11-15,39
2020-11-22,34
2020-11-29,32
2020-12-06,26
2020-12-13,27
2020-12-20,36
2020-12-27,18
2021-01-03,31
2021-01-10,22
2021-01-17,28
2021-01-24,39
2021-01-31,26
2021-02-07,23
2021-02-14,27
2021-02-21,6
2021-02-28,12
2021-03-07,15
2021-03-14,11
2021-03-21,27
2021-03-28,16
2021-04-04,12
2021-04-11,22
2021-04-18,16
2021-04-25,21
2021-05-02,0
