Week,amazon yoga mat: (United Kingdom)
2020-01-05,9
2020-01-12,13
2020-01-19,9
2020-01-26,4
2020-02-02,13
2020-02-09,4
2020-02-16,9
2020-02-23,4
2020-03-01,4
2020-03-08,16
2020-03-15,24
2020-03-22,57
2020-03-29,100
2020-04-05,79
2020-04-12,71
2020-04-19,47
2020-04-26,75
2020-05-03,53
2020-05-10,61
2020-05-17,15
2020-05-24,12
2020-05-31,30
2020-06-07,7
2020-06-14,11
2020-06-21,16
2020-06-28,8
2020-07-05,16
2020-07-12,4
2020-07-19,13
2020-07-26,17
2020-08-02,4
2020-08-09,9
2020-08-16,8
2020-08-23,29
2020-08-30,13
2020-09-06,13
2020-09-13,9
2020-09-20,25
2020-09-27,21
2020-10-04,17
2020-10-11,14
2020-10-18,27
2020-10-25,13
2020-11-01,25
2020-11-08,8
2020-11-15,13
2020-11-22,8
2020-11-29,13
2020-12-06,26
2020-12-13,0
2020-12-20,15
2020-12-27,13
2021-01-03,21
2021-01-10,17
2021-01-17,21
2021-01-24,13
2021-01-31,13
2021-02-07,4
2021-02-14,13
2021-02-21,8
2021-02-28,13
2021-03-07,9
2021-03-14,0
2021-03-21,9
2021-03-28,24
2021-04-04,18
2021-04-11,5
2021-04-18,14
2021-04-25,0
2021-05-02,16
